,Tender Link,Title,Buyer,Supplier,Bid Price
161,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
162,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
163,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
164,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
165,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
166,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
167,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
168,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
169,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
170,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
171,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
172,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
173,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
174,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
175,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
176,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
177,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
178,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
179,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
180,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
181,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
182,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
183,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
184,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
185,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
186,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
187,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
188,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
189,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
190,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
191,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
192,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
193,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
194,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
195,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
196,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
197,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
198,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
199,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
200,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
201,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
202,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
203,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
204,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
205,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
206,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
207,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
208,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
209,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
210,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
211,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
212,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
213,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
214,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
215,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
216,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
217,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
218,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
219,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
220,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
221,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
222,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
223,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
224,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
225,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
226,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
227,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
228,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
229,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
230,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
231,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
232,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
233,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
234,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
235,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
236,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
237,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
238,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
239,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
240,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
241,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
242,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
243,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
244,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
245,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
246,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
247,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
248,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
249,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
250,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
251,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
252,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
253,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
254,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
255,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
256,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
257,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
258,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
259,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
260,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
261,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
262,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
263,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
264,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
265,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
266,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
267,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
268,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
269,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
270,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
271,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
272,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
273,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
274,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
275,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
276,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
277,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
278,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
279,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
280,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
281,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
282,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
283,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
284,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
285,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
286,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
287,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
288,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
289,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
290,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
291,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
292,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
293,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
294,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
295,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
296,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
297,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
298,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
299,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
300,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
301,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
302,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
303,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
304,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
305,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
306,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
307,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
308,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
309,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
310,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
311,,,"Gebalis - Gestão do Arrendamento da Habitação Municipal de Lisboa, E. M., S. A.","Lot 2
				
				
				
				
					
					Almiro Simões & Craveiro Lda
				
				
			
				Lot 2
				
				
				
				
					
					Anónima Empresa de Construção Lda
				
				
			
				Lot 2
				
				
				
				
					
					Beledin , Construção Civil Lda
				
				
			
				Lot 2
				
				
				
				
					
					CASTLING
				
				
			
				Lot 2
				
				
				
				
					
					Potencial Abcissa Construções Unipessoal Lda","Lot 1 Bid 1
				
				
				
				
					€ 22,995
				
				
			
				Lot 2 Bid 1
				
				
				
				
					€ 22,995"
312,,,"Instituto dos Registos e do Notariado, I. P.","PDM&FC - Projecto, Desenvolvimento, Manutenção e Consultadoria","€ 109,200"
313,,,Município de Azambuja,Ana Luísa Brigantim Pereira Bochicchio,"€ 9,000"
314,,,Serviços Municipalizados de Água e Saneamento de Sintra,"ONITELECOM - Infocomunicações, S.A.
				
				
			
				
				
				
				
				
					
					Onitelecom-Infocomunicações,S.A.","Bid 1
				
				
				
				
					€ 2,255"
315,,,"Casa Pia de Lisboa, I. P.",Tintas Marilina S.A.,"€ 2,354.7"
316,,,Adm.Reg.de Saúde de Lisboa e Vale do Tejo (ARSLVT),"Canon Portugal, S.A.","€ 4,453.6"
317,,,Município de Arouca,"Movex - Produção, Venda e Aluguer de Módulos Pre Fabricados, SA","€ 7,386"
318,,,Município de Chaves,Manuel Joaquim dos Santos Gonçalves,"€ 7,080.5"
319,,,"Instituto Nacional de Investigação Agrária e Veterinária, I. P.","DATELKA - Engenharia e Sistemas, LDA.","€ 2,000"
320,,,Guarda Nacional Republicana,"ENGIRISCO, LDA","Bid 1
				
				
				
				
					€ 28,125"
