Key,English Words,Translation
sender_id_and_image,Sender ID & Image,भेजने वाले की पहचान और चित्र
sender_id_image,Sender ID Image,भेजने वाले की पहचान छवि
sender_id_proof,Sender ID Proof,भेजने वाले की पहचान का प्रमाण
sender_id_proof_no,Sender ID Proof No,भेजने वाले की पहचान प्रमाण की संख्या
sender_image,Sender Image,भेजने वाले का चित्र
sender_mobile_no_,Sender mobile No,भेजने वाले की मोबाइल संख्या
service_name,Service Name,सर्विस का नाम
short_receive,Short Receive,कम प्राप्त हुआ
show_all,Show All,सब दिखाएं
label_show_auto_receive,Show Auto Receive Only,केवल ऑटो रिसीव/प्राप्त हुआ दिखाएँ
show_date,Show date,तिथि दिखाएँ
show_list,Show List,सूची दिखाएँ
show_list_all,Show list all,सभी की सूची दिखाएँ
label_near_by_branches,Show Nearby Branches,निकटवर्ती शाखाएँ दिखाएँ
show_qr,Show QR,क्यूआर दिखाएँ
label_rate_enquiry,Show Rate,दर दिखाएँ
show_time,Show time,समय दिखाएं
sms_info,SMS Info, जानकारी एसएमएस करें
sms_pnr_info,SMS PNR Info,पीएनआर जानकारी एसएमएस करें
label_sms_success,Sms sent successfully,एसएमएस सफलतापूर्वक भेजा गया
sms_template,SMS Template,एसएमएस टेम्पलेट
sms_template_here,SMS Template Here..,एसएमएस टेम्प्लेट यहाँ..
sms_type,SMS Type,एसएमएस प्रकार
source_branch,Source Branch,स्रोत शाखा
source_city,Source City,स्रोत शहर
special_vehicle,Special vehicle,विशेष वाहन
label_sr,Sr.,क्रमसंख्या
staff_mno,Staff MNo.,स्टाफ की मोबाइल संख्या
dec_date,Start date,आरंभ करने की तिथि
start_date,Start date,आरंभ करने की तिथि
start_recording,Start recording,रिकॉर्डिंग शुरू
start_syncing,Start Syncing,सिंक करना प्रारंभ करें
stop_recording,Stop recording,रिकॉर्डिंग बंद करें
stop_syncing,Stop Syncing,सिंक करना बंद करें
stop_trip,Stop Trip,यात्रा रोकें
submit_otp,Submit OTP,ओटीपी सबमिट करें
receive_report_type_2,Summary,सारांश
toolbar_summary_receive_report,Summary -Receive Report,सारांश-रिपोर्ट प्राप्त करें
dispatch_report_type_3,Summary Only,केवल सारांश
dispatch_report_type_5,Summary with Hamali & Cartage,हमाली और कार्टेज के साथ सारांश
dispatch_report_type_6,Summary with other charges,अन्य शुल्कों के साथ सारांश
swiping_charges,Swiping Charges,स्वैपिंग शुल्क
label_tnc,T&C,नियम एवं शर्तें
test,Test,जांच
label_already_added,This Eway bill already added,इस ईवे बिल को पहले भी जोड़ा जा चुका है
tv_given_time,Time,समय
end_date,To Date,किस तिथि तक
to_stage,To Stage,किस स्टेज तक
label_to_lr_booking_date,To LR Booking Date,एलआर बुकिंग तिथि तक
label_to_pay,To-Pay,भुगतान करने के लिए
offline_trips_tonetag,Tonetag - Offline trips,टोनटैग - ऑफ़लाइन यात्राएँ
topay,Topay,भुगतान करने के लिए
label_to_pay_amount,ToPay Amount,भुगतान की जाने वाली राशि
label_to_pay_freight,ToPay Freight,मालभाड़ा/फ्रेट का भुगतान करने के लिए
label_to_pay_gst_other,ToPay GST + Other,जीएसटी + अन्य का भुगतान करें
label_to_pay_lr_count,ToPay LR Count, एलआर काउंट का भुगतान करने के लिए
label_to_pay_units,ToPay Units,इकाइयों का भुगतान करने के लिए
total_damage_qty,Total Damage Qty,कुल क्षति मात्रा
total_eway_bill_count,Total Eway Bill Count,कुल ईवे बिल गणना
total_fare_gst,Total Fare(+GST),कुल किराया(+जीएसटी)
total_freight,Total Freight,कुल मालभाड़ा
total_gst,Total GST,कुल जीएसटी
label_total_gst_other,Total GST + Other,कुल जीएसटी + अन्य
total_items_,Total Items:,कुल वस्तुएं
total_lr_count,Total LR Count,कुल एलआर गणना
label_total_net_amount,Total Net Amount,कुल शुद्ध राशि
total_qty,Total Qty,कुल मात्रा
total_short_qty,Total Short Qty,कुल कम मात्रा
total_units,Total Units,कुल इकाइयाँ
transaction_amount,Transaction amount,लेनदेन राशि
trans_amount,Transaction amount,लेनदेन राशि
transaction_code_,Transaction code,लेनदेन कोड
trans_dt_time,Transaction date time,लेन-देन की तिथि समय
transaction_id,Transaction Id,लेनदेन पहचान
transaction_status,Transaction Status,लेन-देन की स्थिति
transfer,Transfer,स्थानांतरण
transfer_all,Transfer all,सभी को स्थानांतरित करें
transfer_by_branch,Transfer By Branch,शाखा द्वारा स्थानांतरण
transfer_by_user,Transfer By User,उपयोगकर्ता द्वारा स्थानांतरण
transfer_branch,Transfer Branch,स्थानांतरण शाखा
transfer_date,Transfer Date,स्थानान्तरण की तिथि
error_transfer_insert,Transfer Failed! Try again,स्थानांतरण विफल हुआ! पुनः प्रयास करें
label_transfer_from_branch,Transfer From Branch,शाखा से स्थानांतरण
label_transfer_from_city,Transfer From City,शहर से स्थानांतरण
transfer_luggage,Transfer Luggage,सामान स्थानांतरण
transfer_new,Transfer New,नया स्थानान्तरण
transfer_receive,Transfer Receive,स्थानांतरण प्राप्त करें
msg_transfer_success,Transfer Success,स्थानांतरण सफल हुआ
transfer_to,Transfer To,किसे स्थानान्तरण
transfer_to_branch,Transfer To Branch,शाखा में स्थानांतरण
transfer_to_city,Transfer To City,शहर में स्थानांतरण
transfer_type,Transfer Type,स्थानांतरण प्रकार
transporter_name,Transporter Name,ट्रांसपोर्टर का नाम
tv_trip_name,Trip name,यात्रा का नाम
type_of_collection,Type of collection,संग्रह का प्रकार
type_of_goods,Type of goods,माल का प्रकार
units,Units,इकाइयां
unknown,Unknown,अज्ञात
upi_qr,UPI QR,यूपीआई क्यूआर
upload_receiver_image,Upload Receiver Image,पाने वाले का चित्र अपलोड करें
upload_receiver_image_and_id,Upload Receiver Image and Id,पाने वाले का चित्र और पहचान प्रमाण अपलोड करें
upload_receiver_id_image,Upload Receiver Id Image,पाने वाले के पहचान प्रमाण का चित्र अपलोड करें
upload_sender_id_image,Upload Sender ID Image,पाने वाले के पहचान प्रमाण का चित्र अपलोड करें
upload_sender_image,Upload Sender Image,भेजने वाले का चित्र अपलोड करें
label_usages,Usage :,उपयोग :
label_user_location,User Location Point :,उपयोगकर्ता स्थान बिंदु:
valid,Valid,वैध
validate,Validate,सत्यापित करें
validate_boarding,Validate Boarding for seat,सीट के लिए बोर्डिंग सत्यापन करें
validate_with_pin,Validation with pin,पिन के साथ सत्यापन
validity,Validity,वैधता
valuation_charge,Valuation Charge,मूल्यांकन शुल्क
vehicle,Vehicle,वाहन
label_vehicle_wise,vehicle wise,वाहन के अनुसार
vehicle_wise,vehicle wise,वाहन के अनुसार
vehicle_wise_challan_wise_summary,Vehicle-wise Challan-wise Summary,वाहन-वार चालान-वार सारांश
dispatch_report_type_2,Vehicle-wise Summary (Cancelled dispatch),वाहन-वार सारांश (रद्द डिस्पैच)
verify,Verify,सत्यापित करें
verification_status,Verification Status,सत्यापन स्थिति
version_name,Version name,संस्करण का नाम
view_coupons,View Coupons,कूपन देखें
voucher_success,Voucher success,वाउचर सफलता
weight_charge,Weight Charge,वज़न शुल्क
blocked_lrno_is,Blocked LRNO is,अवरुद्ध किया गया एलआरएनओ है
label_gps_config_fail,Bus not assigned or GPS not configured.,बस असाइन नहीं की गई या जीपीएस कॉन्फ़िगर नहीं किया गया।
click_swipe_machine,Click preferred swipe machine type to proceed,आगे बढ़ने के लिए कृपया मनपसन्द स्वाइप मशीन प्रकार पर क्लिक करें
inactive_trip,Currently all sub-routes are closed !,फिलहाल सभी सब-रूट्स/उपमार्ग बंद हैं
change_destination_branch,Do you want to change the Destination Branch?,क्या आप डेस्टिनेशन शाखा बदलना चाहते हैं?
enter_4_digits_pin,Enter 4 digits pin,4 अंकों का पिन दर्ज करें
msg_if_you_have_forgotten,"*If you have forgotten the saved pattern , logout,login and create a new pattern","*यदि आप अपने सेव किए गए पैटर्न को भूल गए हैं तो लॉगआउट करें, लॉगिन करें और एक नया पैटर्न बनाएं"
payment_modes_not_loaded,Payment modes list is not loaded!,भुगतान मोड सूची अभी लोड नहीं हुई है!
label_select_ewaybill,Please Select At Least One Eway Bill,कृपया कम से कम एक ईवे बिल चुनें
qr_valid_fail,QR validation failed,क्यूआर सत्यापन विफल रहा
rate_entered_for_party,Rate Entered For Party Booking Does Not Match Assigned Rate!,"पार्टी बुकिंग के लिए जिस मूल्य/दर को दर्ज किया गया है, वह निर्धारित दर के अनुसार नहीं हैं "
msg_confirm_non_report_seat,Seat will be non-reported by following action.,निम्नलिखित क़दमों द्वारा सीटें नॉन-रिपोर्टेड की जाएँगी
message_ewaybilt_different_transporter,Transporter-ID does not match to yours,ट्रांसपोर्टर-पहचान प्रमाण आपके पहचान विवरण के अनुसार नहीं है
trip_detail_not_found_error,Trip Details Not Found For Selected Chart Date,चुनी गयी चार्ट तिथि के लिए यात्रा विवरण नहीं मिला
volumetric_inch,Volumetric Weight(KG) =(Length*Width*Height*16.3871/5000),वॉल्यूमेट्रिक वजन (किग्रा) =(लंबाई*चौड़ाई*ऊंचाई*16.3871/5000)
volumetric_cm,Volumetric Weight(KG) =(Length*Width*Height/5000),वॉल्यूमेट्रिक वजन (किग्रा) =(लंबाई*चौड़ाई*ऊंचाई/5000)
volumetric_mm,Volumetric Weight(KG) =(Length*Width*Height/5000000),वॉल्यूमेट्रिक वजन (किग्रा) =(लंबाई*चौड़ाई*ऊंचाई/5000000)
booking_reprint,Booking reprint,बुकिंग दुबारा प्रिंट करें
booking_cancel,Booking cancel,बुकिंग रद्द करें
delivery_cancel,Delivery cancel,डिलिवरी रद्द करें
delivery_reprint,Delivery reprint,डिलीवरी दुबारा प्रिंट करें
booking_date_and_time,Booking Date & Time,बुकिंग की तिथि और समय
way_bill_no_lr_no,Way Bill No (LR No.),वे बिल संख्या (एलआर संख्या)
reprint_duplicate_copy,REPRINT (DUPLICATE COPY),दोबारा प्रिंट करें  (डुप्लिकेट प्रति)
delivery_date_and_time,Delivery Date & Time,डिलीवरी की तिथि और समय
received_date_and_time,Received Date & Time,प्राप्त तिथि एवं समय
more_options_underline,More Options,अधिक विकल्प
more_options_fields_underline,More Optional Fields,अधिक वैकल्पिक फ़ील्ड
charged_weight,Charged Weight,वजन पर शुल्क लगाया गया
delivered_by,Delivered By,किसके द्वारा डिलीवर किया गया
delivery_charge,Delivery Charge,डिलीवरी शुल्क
search_new_lr,search new lr,नया एलआर खोजें
dispatch_remarks,Dispatch Remarks,डिस्पैच टिप्पणियाँ
receive_remarks,Receive Remarks,रिसीव टिप्पणियाँ
select_option_search_by,Select Option Search By,किसके द्वारा खोजें विकल्प चुना गया
not_authorised,Not Authorised,अधिकृत नहीं
location_setting,Location settings,स्थान सेटिंग्स
fetch_failed,Fetch failed,फ़ेच विफल रहा
terms_of_use,Terms of use,उपयोग की शर्तें
privacy_policy,Privacy policy,गोपनीयता नीति
data_pending_to_upload,Data pending to upload!,डेटा अपलोड होना शेष है!
can_not_logout,Can not logout!,लॉगआउट नहीं कर सकते!
unable_to_open_google_playstore,Unable to open Google Play Store,गूगल प्ले स्टोर खोलने में असमर्थ
update_avaiable,Update available,अपडेट उपलब्ध
add_more_details,Add More Details,अधिक विवरण जोड़ें
show_less,Show less,कम दिखाएं
add_receiver_details,Add Receiver Details,पाने वाले का विवरण जोड़ें
add_sender_details,Add Sender Details,भेजने वाले का विवरण जोड़ें
validate_underline,Validate,सत्यापित करें
label_rate_enquiry_underlined,Show Rate,दर दिखाएँ
remove_underline,Remove,निकालें
change_underline,Change,बदलें
msg_warning_payment,Please do not press back button or home button thought the payment for a better payment experience,भुगतान के एक बेहतर अनुभव के लिए कृपया बैक बटन या होम बटन न दबाएं
msg_transfer_succesfully,You have successfully transferred old seats to new seats,आपने पुरानी सीटों को नई सीटों पर सफलतापूर्वक स्थानांतरित कर दिया है
msg_confirm_add_expense,Do you want to add expense ?,क्या आप व्यय जोड़ना चाहते हैं?
msg_tnc_link,You agree to our Terms of Use agreement and Privacy Policy,आप हमारे उपयोग की शर्तों के अनुबंध और गोपनीयता नीति के प्रति सहमत हैं
msg_give_permission_blutooth_connnnect,Please give us bluetooth connect or nearby devices permission!!,कृपया हमें ब्लूटूथ कनेक्ट या नजदीकी डिवाइस के प्रयोग की अनुमति दें
msg_give_permission_blutooth_scan,Please give us bluetooth scan permission!!,कृपया हमें ब्लूटूथ स्कैन की अनुमति दें!!
msg_per__read_storage,Please give us write storage permission!!,कृपया हमें भंडारण/स्टोरेज लिखने की अनुमति दें!!
msg_per_write_storage,Please give us read storage permission!!,कृपया हमें भंडारण/स्टोरेज पढ़ने की अनुमति दें!!
msg_per_camera,Please give us camera permission!!,कृपया हमें कैमरे की अनुमति दें!!
msg_check_pnp,Please agree to our Terms of Use agreement and Privacy Policy,कृपया हमारे उपयोग की शर्तों के अनुबंध और गोपनीयता नीति के प्रति सहमति प्रदान करें
msg_monthly_rental,Monthly rental for this app is,इस ऐप का मासिक किराया है
msg_kindly_contact_reprensentative,Kindly contact your representative for more information.,अधिक जानकारी के लिए कृपया अपने प्रतिनिधि से संपर्क करें।
msg_not_access_to_app,Your access to app is not authorised or expired.,आप एप से संपर्क करने के लिए या तो अधिकृत नहीं हैं या आपकी वैधता समाप्त हो गयी है
msg_contact_maventech,Kindly contact the MavenTech Labs accounts team for assistance!,सहायता के लिए कृपया मेवेनटेक लैब्स अकाउंट टीम से संपर्क करें!
msg_new_update_avaible,New update for the app is available. Update the app to enjoy latest features!,ऐप के लिए नया अपडेट उपलब्ध है| यदि आप नई खूबियाँ पाना चाहते हैं तो एप को अपडेट करें!
msg_app_required_gps,App requires GPS to run! Change the location setting to enable GPS,ऐप संचालन के लिए जीपीएस की आवश्यकता है! जीपीएस सक्षम करने के लिए स्थान सेटिंग बदलें
msg_app_wont_work_without_permission,App won't work without the permission. Grant permission from settings,एप बिना अनुमति के कार्य नहीं करेगा| सेटिंग्स से अनुमति प्रदान करें
msg_mobile_not_verified,Mobile number is not verified!,मोबाइल संख्या सत्यापित नहीं है!
msg_qr_less_amount_error,"Scanned amount is less than the total fare, Scan different QR or change the payment mode to continue the booking !","स्कैन की गई राशि कुल किराए से कम है, बुकिंग जारी रखने के लिए अलग-अलग क्यूआर स्कैन करें या भुगतान मोड बदलें!"
msg_fill_info,Fill with customer Mobile number and Email ID(optional) to generate prepaid card against the mobile number.,मोबाइल संख्या पर प्रीपेड कार्ड बनाने के लिए ग्राहक की मोबाइल संख्या और ईमेल आईडी (वैकल्पिक) दर्ज करें।
msg_cover_warning_for_other_booking_type,Only Payment Type Paid Is Applicable For This Consignment Type,"इस प्रकार के कंसाईन्मेंट के भुगतान के लिए लिए केवल ""भुगतान किया गया"" विकल्प ही लागू होगा  "
msg_packet_warning_for_other_booking_type,Payment Type should not be TO-PAY for this consignment type,"इस प्रकार के कंसाईन्मेंट के भुगतान के लिए ""भुगतान करना है"" वाला विकल्प नहीं होना चाहिए "
