Key,English Words,Translation
mod_charges_plus,Mod. charges (+) :,ਮੌਡ. ਖਰਚੇ (+):
month,Month,ਮਹੀਨਾ
monthly,Monthly,ਮਹੀਨਾਵਾਰ
more,More,ਹੋਰ
label_more,more,ਹੋਰ
net_fare,Net fare,ਸ਼ੁੱਧ ਕਿਰਾਇਆ
net_fare_with_gst,Net fare with GST,ਜੀ.ਐਸ.ਟੀ. ਸਮੇਤ ਸ਼ੁੱਧ ਕਿਰਾਇਆ
netrate,Netrate,ਸ਼ੁੱਧ-ਦਰ
net_total,Net Total,ਕੁੱਲ
neww,New,ਨਵਾਂ
new_bus_type,New Bus Type,ਨਵੀਂ ਬੱਸ ਦੀ ਕਿਸਮ
label_new_Seat_chart,new Chart,ਨਵਾਂ ਚਾਰਟ
label_new_drop_off,New Dropoff,ਨਵਾਂ ਡ੍ਰੌਪਔਫ਼
label_new_pick_up,New Pickup,ਨਵਾਂ ਪਿੱਕਅੱਪ
label_new_seat,New Seats,ਨਵੀਆਂ ਸੀਟਾਂ
next_trips,Next Trips,ਅਗਲੀਆਂ ਯਾਤਰਾਵਾਂ
no_data_found,No Data Found,ਕੋਈ ਡਾਟਾ ਨਹੀਂ ਮਿਲਿਆ
no_godown_branch_found,No Godown Branch Found,ਕੋਈ ਗੁਦਾਮ ਸ਼ਾਖਾ ਨਹੀਂ ਮਿਲੀ
no_godown_cities,No Godown Cities Found,ਕੋਈ ਗੁਦਾਮ ਸ਼ਹਿਰ ਨਹੀਂ ਮਿਲਿਆ
dispatch_report_type_8,No Vehicle Group,ਕੋਈ ਵਾਹਨ ਗਰੁੱਪ ਨਹੀਂ
non_cash_amount,Non Cash amount,ਗੈਰ ਨਕਦ ਰਕਮ
non_report_seat,Non Report Seat,ਗੈਰ-ਰਿਪੋਰਟ ਸੀਟ
label_nop_units,NOP/Units,ਐਨ.ਓ.ਪੀ./ਇਕਾਈਆਂ
not_available,Not Available,ਉਪਲਬਧ ਨਹੀ
number_given,Number given,ਨੰਬਰ ਦਿੱਤਾ ਗਿਆ
label_offline,Offline,ਔਫਲਾਈਨ
offline_bkg_cash_amnt,Offline Bkg Cash Amt,ਔਫਲਾਈਨ ਬੀ.ਕੇ.ਜੀ. ਨਕਦ ਰਕਮ
offline_bkg_non_cash_amnt,Offline Bkg Non Cash Amt,ਔਫਲਾਈਨ ਬੀ.ਕੇ.ਜੀ. ਗੈਰ ਨਕਦ ਰਕਮ
label_old_Seat_chart,Old Chart,ਪੁਰਾਣਾ ਚਾਰਟ
label_old_drop_off,Old Dropoff,ਪੁਰਾਣਾ ਡ੍ਰੌਪਔਫ਼
label_old_pick_up,Old Pickup,ਪੁਰਾਣਾ ਪਿੱਕਅੱਪ
label_old_seat,Old Seats,ਪੁਰਾਣੀਆਂ ਸੀਟਾਂ
onaccount,OnAccount,ਔਨਅਕਾਉਂਟ
label_on_account_amount,OnAccount Amount,ਔਨਅਕਾਉਂਟ ਰਕਮ
label_on_account_amt,OnAccount Amt,ਔਨਅਕਾਉਂਟ ਰਕਮ
label_on_account_freight,OnAccount Freight,ਔਨਅਕਾਉਂਟ ਮਾਲ ਢੁਆਈ
label_on_account_gst_other,OnAccount GST + Other,ਔਨਅਕਾਉਂਟ ਜੀ.ਐਸ.ਟੀ. + ਹੋਰ
label_on_account_lr_count1,OnAccount LR Count,ਔਨਅਕਾਉਂਟ ਐਲ.ਆਰ. ਗਿਣਤੀ
label_on_account_lr_count,OnAccount Units,ਔਨਅਕਾਉਂਟ ਇਕਾਈਆਂ
label_online,Online,ਔਨਲਾਈਨ
op_name,Opearor name,ਓਪਰੇਟਰ ਦਾ ਨਾਮ
open_report,Open Report,ਰਿਪੋਰਟ ਖੋਲ੍ਹੋ
open_ticket,Open Ticket,ਟਿਕਟ ਖੋਲ੍ਹੋ
operator_hamali,Operator Hamali,ਓਪਰੇਟਰ ਹਮਾਲੀ
or,Or,ਜਾਂ
order_id,Order ID,ਆਰਡਰ ਆਈ.ਡੀ.
order_list,Order list,ਆਰਡਰ ਸੂਚੀ
other_charges,Other Charges,ਹੋਰ ਖਰਚੇ
other_expenses,Other expenses,ਹੋਰ ਖਰਚੇ
other_qrs,Other QRs,ਹੋਰ ਕਿਉ.ਆਰ.
other_transactions,Other transactions,ਹੋਰ ਲੈਣ-ਦੇਣ
otp_sent_to_your_mobile_number,OTP sent to you mobile number,ਤੁਹਾਨੂੰ ਮੋਬਾਈਲ ਨੰਬਰ 'ਤੇ ਓ.ਟੀ.ਪੀ. ਡਿਸਪੈਚ ਕੀਤਾ ਗਿਆ ਹੈ
label_paid_amount,Paid Amount,ਭੁਗਤਾਨਸ਼ੁਦਾ ਰਕਮ
label_paid_freight,Paid Freight,ਭੁਗਤਾਨਸ਼ੁਦਾ ਮਾਲ ਢੁਆਈ
label_paid_gst_other,Paid GST + Other,ਭੁਗਤਾਨਸ਼ੁਦਾ ਜੀ.ਐਸ.ਟੀ. + ਹੋਰ
label_paid_lr_count1,Paid LR Count,ਭੁਗਤਾਨਸ਼ੁਦਾ ਐਲ.ਆਰ. ਗਿਣਤੀ
label_paid_lr_count,Paid Units,ਭੁਗਤਾਨਸ਼ੁਦਾ ਇਕਾਈਆਂ
party_address,Party Address,ਪਾਰਟੀ ਦਾ ਪਤਾ
party_bill_date,Party Bill Date,ਪਾਰਟੀ ਬਿੱਲ ਦੀ ਮਿਤੀ
party_bill_value,Party Bill Value,ਪਾਰਟੀ ਬਿੱਲ ਦਾ ਮੁੱਲ
party_credit_limit,Party creditLimit,ਪਾਰਟੀ ਕ੍ਰੈਡਿਟ ਸੀਮਾ
party_details,Party Details,ਪਾਰਟੀ ਦੇ ਵੇਰਵੇ
party_email_id,Party Email ID,ਪਾਰਟੀ ਦੀ ਈਮੇਲ ਆਈ.ਡੀ.
party_gstn,Party GSTN,ਪਾਰਟੀ ਦਾ ਜੀ.ਐਸ.ਟੀ.ਐਨ.
hint_party_id,Party ID,ਪਾਰਟੀ ਦੀ ਆਈ.ਡੀ.
party_mobile,Party Mobile No,ਪਾਰਟੀ ਦਾ ਮੋਬਾਈਲ ਨੰਬਰ
party_name,Party Name,ਪਾਰਟੀ ਦਾ ਨਾਮ
party_number,Party Number,ਪਾਰਟੀ ਦਾ ਨੰਬਰ
party_pin_code,Party Pincode,ਪਾਰਟੀ ਦਾ ਪਿੰਨ ਕੋਡ
amntin_rs,Pass penalty,ਪਾਸ ਜੁਰਮਾਨਾ
passenger_number,Passenger Number,ਯਾਤਰੀ ਨੰਬਰ
passenger_report,Passenger Report,ਯਾਤਰੀ ਰਿਪੋਰਟ
path_route,Path route,ਪਥ ਰਸਤਾ
pay,Pay,ਭੁਗਤਾਨ ਕਰੋ
payment_info,Payment info,ਭੁਗਤਾਨ ਜਾਣਕਾਰੀ
label_payment_summary,Payment Summary -,ਭੁਗਤਾਨ ਸਾਰਾਂਸ਼ -
payout_type,Payout Type,ਭੁਗਤਾਨ ਦੀ ਕਿਸਮ
pdbf_voucher,PBDF Voucher,ਪੀ.ਬੀ.ਡੀ.ਐਫ. ਵਾਊਚਰ
pd_refund,PD Charges Refund,ਪੀ.ਡੀ. ਖਰਚਿਆਂ ਦੀ ਭੁਗਤਾਨ-ਵਾਪਸੀ
phone,Phone,ਫ਼ੋਨ
pd_charge,Pickup dropoff charge,ਪਿੱਕਅੱਪ ਡ੍ਰੌਪਔਫ਼ ਖਰਚਾ
pickup_group,Pickup Group,ਪਿੱਕਅੱਪ ਗਰੁੱਪ
msg_pickup_loading,Pickup is loading,ਪਿੱਕਅੱਪ ਲੋਡ ਹੋ ਰਿਹਾ ਹੈ
pickup_location,Pickup Location,ਪਿੱਕਅੱਪ ਟਿਕਾਣਾ
pickup_point,Pickup Point,ਪਿੱਕਅੱਪ ਪੁਆਇੰਟ
pickup_man_mob_no,Pickupman mobile number,ਪਿੱਕਅੱਪ ਮੈਨ ਦਾ ਮੋਬਾਈਲ ਨੰਬਰ
pin,Pin,ਪਿੰਨ
pinCode,Pincode,ਪਿੰਨ ਕੋਡ
please,Please,ਕਿਰਪਾ ਕਰਕੇ
please_enter_collection_cartage,Please enter Collection cartage,ਕਿਰਪਾ ਕਰਕੇ ਸੰਗ੍ਰਹਿ ਕਾਰਟੇਜ ਦਾਖਲ ਕਰੋ
please_enter_crossing_remarks,Please enter Crossing Remarks,ਕਿਰਪਾ ਕਰਕੇ ਕਰਾਸਿੰਗ ਟਿੱਪਣੀਆਂ ਦਾਖਲ ਕਰੋ
please_enter_goods_value,Please enter goods value,ਕਿਰਪਾ ਕਰਕੇ ਮਾਲ ਦਾ ਮੁੱਲ ਦਾਖਲ ਕਰੋ
message_type_2,Please select booked seats,ਕਿਰਪਾ ਕਰਕੇ ਬੁੱਕ ਕੀਤੀਆਂ ਸੀਟਾਂ ਚੁਣੋ
label_select_different_seat,Please select different seat,ਕਿਰਪਾ ਕਰਕੇ ਵੱਖਰੀ ਸੀਟ ਚੁਣੋ
message_type_1,Please select empty seats,ਕਿਰਪਾ ਕਰਕੇ ਖਾਲੀ ਸੀਟਾਂ ਚੁਣੋ
select_godown_city_first,Please select Godown City first,ਕਿਰਪਾ ਕਰਕੇ ਪਹਿਲਾਂ ਗੁਦਾਮ ਸ਼ਹਿਰ ਚੁਣੋ
self_booking_pnr,PNR Number,ਪੀ.ਐਨ.ਆਰ. ਨੰਬਰ
pnr_number,PNR number,ਪੀ.ਐਨ.ਆਰ. ਨੰਬਰ
pos,POS,ਪੀ.ਓ.ਐੱਸ.
pre_bus_type,Pre Bus Type,ਪ੍ਰੀ ਬੱਸ ਦੀ ਕਿਸਮ
prepaid_card,Prepaid Card,ਪ੍ਰੀਪੇਡ ਕਾਰਡ
primary_mobile_number,Primary mobile number,ਮੁੱਖ ਮੋਬਾਈਲ ਨੰਬਰ
print,Print,ਪ੍ਰਿੰਟ ਕਰੋ
print_cust_copy,Print customer copy,ਗਾਹਕ ਕਾਪੀ ਪ੍ਰਿੰਟ ਕਰੋ
print_compact_receipt,Print Compact Receipt,ਸਾਰਾਂਸ਼ ਰਸੀਦ ਪ੍ਰਿੰਟ ਕਰੋ
print_detailed_receipt,Print Detailed Receipt,ਵਿਸਤ੍ਰਿਤ ਰਸੀਦ ਪ੍ਰਿੰਟ ਕਰੋ
print_office_copy,Print office copy,ਦਫ਼ਤਰ ਦੀ ਕਾਪੀ ਪ੍ਰਿੰਟ ਕਰੋ
print_remarks,Print Remarks,ਟਿੱਪਣੀਆਂ ਪ੍ਰਿੰਟ ਕਰੋ
print_report,Print Report,ਰਿਪੋਰਟ ਪ੍ਰਿੰਟ ਕਰੋ
provide_contact_details_to_send_express_checkout,Provide contact details to send Express Checkout,ਐਕਸਪ੍ਰੈਸ ਚੈੱਕਆਉਟ ਭੇਜਣ ਲਈ ਸੰਪਰਕ ਵੇਰਵੇ ਪ੍ਰਦਾਨ ਕਰੋ
qr,QR,ਕਿਉ.ਆਰ.
qr_selection_type,QR Selection Type,ਕਿਉ.ਆਰ. ਚੋਣ ਦੀ ਕਿਸਮ
label_qr_pending_payment,QR Pending Payments,ਕਿਉ.ਆਰ. ਬਕਾਇਆ ਭੁਗਤਾਨ
quick_view_detail,Quick View Detail,ਤਤਕਾਲ ਦ੍ਰਿਸ਼ ਵੇਰਵੇ
quota_of,Quota of,ਇਸ ਦਾ ਕੋਟ
label_rate_per_kg,Rate (Rs/KG),ਦਰ (ਰੁਪਏ/ਕਿਲੋਗ੍ਰਾਮ)
transfer_reason,Reason,ਕਾਰਨ
reason_for_refund,Reason for refund,ਭੁਗਤਾਨ-ਵਾਪਸੀ ਦਾ ਕਾਰਨ
receipt,Receipt,ਰਸੀਦ
receipt_type,Receipt Type,ਰਸੀਦ ਦੀ ਕਿਸਮ
label_receive_branch,Receive Branch,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੀ ਸ਼ਾਖਾ
receive_city,Receive City,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲਾ ਸ਼ਹਿਰ
received_by,Received By,ਇਸ ਵੱਲੋਂ ਪ੍ਰਾਪਤ ਕੀਤਾ
received_by_branch,Received By Branch,ਸ਼ਾਖਾ ਵੱਲੋਂ ਪ੍ਰਾਪਤ ਕੀਤਾ
receiver_id_proof,Receiver Id Proof,ਪ੍ਰਾਪਤਕਰਤਾ ਦਾ ਆਈ.ਡੀ. ਸਬੂਤ
receiver_id_proof_no,Receiver Id Proof No,ਪ੍ਰਾਪਤਕਰਤਾ ਦਾ ਆਈ.ਡੀ. ਸਬੂਤ ਨੰਬਰ
receiver_image_id,Receiver Image Id,ਪ੍ਰਾਪਤਕਰਤਾ ਦੀ ਚਿੱਤਰ ਆਈ.ਡੀ.
receiver_mobile_no_,Receiver mobile No,ਪ੍ਰਾਪਤਕਰਤਾ ਦਾ ਮੋਬਾਈਲ ਨੰਬਰ
label_receiver_name,Receiver Name,ਪ੍ਰਾਪਤਕਰਤਾ ਦਾ ਨਾਮ
receiver_city_and_state,Receiver City & State,ਪ੍ਰਾਪਤਕਰਤਾ ਦਾ ਸ਼ਹਿਰ ਅਤੇ ਰਾਜ
receiver_pin_code,Receiver Pincode,ਪ੍ਰਾਪਤਕਰਤਾ ਦਾ ਪਿਨਕੋਡ
label_receiving_branch,Receiving Branch,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੀ ਸ਼ਾਖਾ
lebel_receiving_city,Receiving City,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲਾ ਸ਼ਹਿਰ
recharge_amount,Recharge amount,ਰੀਚਾਰਜ ਦੀ ਰਕਮ
label_recharge_date,RechargeDate:,ਰੀਚਾਰਜ ਮਿਤੀ:
receiver_name_,Reciever Name,ਪ੍ਰਾਪਤਕਰਤਾ ਦਾ ਨਾਮ
refresh,Refresh,ਤਾਜ਼ਾ ਕਰੋ
refund_amount,Refund amount,ਭੁਗਤਾਨ-ਵਾਪਸੀ ਦੀ ਰਕਮ
refund_success,Refund is successful,ਭੁਗਤਾਨ-ਵਾਪਸੀ ਸਫਲ ਰਿਹਾ
remote_pos,Remote POS,ਰਿਮੋਟ ਪੀ.ਓ.ਐਸ.
report_type,Report Type,ਰਿਪੋਰਟ ਦੀ ਕਿਸਮ
request_recharge,Request Recharge,ਰੀਚਾਰਜ ਦੀ ਬੇਨਤੀ ਕਰੋ
resend_otp,Resend,ਦੁਬਾਰਾ ਭੇਜੋ
reset,Reset,ਰੀਸੈੱਟ ਕਰੋ
review_and_pay,Review and Pay,ਸਮੀਖਿਆ ਕਰੋ ਅਤੇ ਭੁਗਤਾਨ ਕਰੋ
review_and_proceed,Review and proceed,ਸਮੀਖਿਆ ਕਰੋ ਅਤੇ ਅੱਗੇ ਵਧੋ
label_route_is_loading,Route is loading,ਰੂਟ ਲੋਡ ਹੋ ਰਿਹਾ ਹੈ
s1,S1,ਐਸ੧
s3,S3,ਐਸ੩
s5,S5,ਐਸ੫
scan,Scan,ਸਕੈਨ ਕਰੋ
search_driver,Search Driver,ਡਰਾਈਵਰ ਖੋਜੋ
search_with_name,Search with Name,ਨਾਮ ਨਾਲ ਖੋਜੋ
seat_fare,Seat Fare,ਸੀਟ ਦਾ ਕਿਰਾਇਆ
seat_numbers,Seat Numbers,ਸੀਟ ਨੰਬਰ
seat_type_number,Seat type number,ਸੀਟ ਦੀ ਕਿਸਮ ਦਾ ਨੰਬਰ
select_agent_name,Select Agent Name,ਏਜੰਟ ਦਾ ਨਾਮ ਚੁਣੋ
select_agent_city,Select Agent City,ਏਜੰਟ ਦਾ ਸ਼ਹਿਰ ਚੁਣੋ
select_all,Select All,ਸਾਰਿਆ ਨੂੰ ਚੁਣੋ
label_select_booking_type,Select Booking Type,ਬੁਕਿੰਗ ਦੀ ਕਿਸਮ ਚੁਣੋ
toolbar_select_from_map,Select Branch From Map,ਨਕਸ਼ੇ ਤੋਂ ਸ਼ਾਖਾ ਚੁਣੋ
label_select_chart,Select Chart,ਚਾਰਟ ਚੁਣੋ
error_select_chart,Select chart for transfer,ਟ੍ਰਾਂਸਫਰ ਲਈ ਚਾਰਟ ਚੁਣੋ
select_consignment_type,Select Consignment Type,ਖੇਪ ਦੀ ਕਿਸਮ ਚੁਣੋ
select_coupon_type,Select Coupon Type,ਕੂਪਨ ਦੀ ਕਿਸਮ ਚੁਣੋ
select_destination_city_short,Select Destination City,ਟਿਕਾਣਾ ਸ਼ਹਿਰ ਚੁਣੋ
select_dispatch_by_branch,Select Dispatch By Branch,ਸ਼ਾਖਾ ਵੱਲੋਂ ਡਿਸਪੈਚ ਚੁਣੋ
saved_details,Select from saved details,ਸੁਰੱਖਿਅਤ ਕੀਤੇ ਵੇਰਵਿਆਂ ਵਿੱਚੋਂ ਚੁਣੋ
select_id_proof_type,Select ID Proof,ਆਈ.ਡੀ. ਸਬੂਤ ਚੁਣੋ
select_input_type,Select input type,ਇੰਨਪੁੱਟ ਦੀ ਕਿਸਮ ਚੁਣੋ
select_issuer,Select issuer,ਜਾਰੀਕਰਤਾ ਚੁਣੋ
select_item_type,Select item type,ਆਈਟਮ ਦੀ ਕਿਸਮ ਚੁਣੋ
select_items,Select Items,ਆਈਟਮਾਂ ਚੁਣੋ
select_ledger,Select Ledger,ਲੇਜਰ ਚੁਣੋ
label_select_new_drop_off,Select New Dropoff,ਨਵਾਂ ਡ੍ਰੌਪਔਫ਼ ਚੁਣੋ
label_select_new_pick_up,Select New Pickup,ਨਵਾਂ ਪਿੱਕਅੱਪ ਚੁਣੋ
select_party,Select Party,ਪਾਰਟੀ ਚੁਣੋ
select_payment_mode,Select Payment Mode,ਭੁਗਤਾਨ ਮੋਡ ਚੁਣੋ
select_pickup_droooff,Select Pickup & Dropoff,ਪਿੱਕਅੱਪ ਅਤੇ ਡ੍ਰੌਪਔਫ਼ ਚੁਣੋ
select_month,Select month,ਮਹੀਨਾ ਚੁਣੋ
select_pnr,Select PNR,ਪੀ.ਐਨ.ਆਰ. ਚੁਣੋ
select_qr_payment_mode,Select QR payment mode,ਕਿਉ.ਆਰ. ਭੁਗਤਾਨ ਮੋਡ ਚੁਣੋ
select_qr_provider,Select QR Provider,ਕਿਉ.ਆਰ. ਪ੍ਰਦਾਤਾ ਚੁਣੋ
label_select_received_by_branch,Select Received By Branch,ਸ਼ਾਖਾ ਵੱਲੋਂ ਪ੍ਰਾਪਤ ਕੀਤਾ ਨੂੰ ਚੁਣੋ
select_receving_branch,Select Receving Branch,ਪ੍ਰਾਪਤ ਕਰਤਾ ਸ਼ਾਖਾ ਚੁਣੋ
select_receiver_id_type,Select Receiver ID Type,ਪ੍ਰਾਪਤ ਕਰਤਾ ਦੀ ਆਈ.ਡੀ. ਦੀ ਕਿਸਮ ਚੁਣੋ
label_select_report_type,Select Report Type,ਰਿਪੋਰਟ ਦੀ ਕਿਸਮ ਚੁਣੋ
select_seats,Select Seats,ਸੀਟਾਂ ਚੁਣੋ
select_sender_id_type,Select Sender ID Type,ਭੇਜਣ ਵਾਲੇ ਦੀ ਆਈ.ਡੀ. ਦੀ ਕਿਸਮ ਚੁਣੋ
label_select_summary_type,Select Summary Type,ਸਾਰਾਂਸ਼ ਦੀ ਕਿਸਮ ਚੁਣੋ
toolbar_report_type,Select Summary Type,ਸਾਰਾਂਸ਼ ਦੀ ਕਿਸਮ ਚੁਣੋ
select_transfer_branch,Select Transfer Branch,ਟ੍ਰਾਂਸਫਰ ਸ਼ਾਖਾ ਚੁਣੋ
select_transfer_branch_in,Select Transfer Branch in,ਇਸ ਵਿੱਚ ਸ਼ਾਖਾ ਸ਼ਾਖਾ ਟ੍ਰਾਂਸਫ਼ਰ ਚੁਣੋ
select_vehicle_no,select Vehicle No,ਵਾਹਨ ਨੰਬਰ ਚੁਣੋ
selected_lr_no,Selected LR No,ਚੁਣਿਆ ਗਿਆ ਐਲ.ਆਰ. ਨੰਬਰ
label_select_seat,Selected old seats,ਚੁਣੀਆਂ ਗਈਆਂ ਪੁਰਾਣੀਆਂ ਸੀਟਾਂ
selected_trans_ids,Selected Trans. Ids,ਚੁਣੀਆਂ ਗਈਆਂ ਟ੍ਰਾਂਸਫ਼ਰ ਆਈ.ਡੀਆਂ.
label_self,Self,ਸਵੈ
label_self_freight,Self Freight,ਸਵੈ ਮਾਲ ਢੁਆਈ
send_GPS_link,Send GPS Link,ਜੀ.ਪੀ.ਐਸ. ਲਿੰਕ ਭੇਜੋ
send_i_was_there,Send I was there SMS,ਮੈਨੂੰ ਉੱਥੇ ਸੀ ਐਸ.ਐਮ.ਐਸ. ਭੇਜੋ
send_link_to_multiple_passenger,Send link to multiple passenger,ਕਈ ਯਾਤਰੀਆਂ ਨੂੰ ਲਿੰਕ ਭੇਜੋ
send_express_checkout,Send Express Checkout,ਐਕਸਪ੍ਰੈਸ ਚੈੱਕਆਉਟ ਭੇਜੋ
sender_city_and_state,Sender City & State,ਭੇਜਣ ਵਾਲੇ ਦਾ ਸ਼ਹਿਰ ਅਤੇ ਰਾਜ
sender_id_and_image,Sender ID & Image,ਭੇਜਣ ਵਾਲੇ ਦੀ ਆਈ.ਡੀ. ਅਤੇ ਚਿੱਤਰ
sender_id_image,Sender ID Image,ਭੇਜਣ ਵਾਲੇ ਦਾ ਆਈ.ਡੀ. ਚਿੱਤਰ
sender_id_proof,Sender ID Proof,ਭੇਜਣ ਵਾਲੇ ਦਾ ਆਈ.ਡੀ. ਸਬੂਤ
sender_id_proof_no,Sender ID Proof No,ਭੇਜਣ ਵਾਲੇ ਦਾ ਆਈ.ਡੀ. ਸਬੂਤ ਨੰਬਰ
sender_image,Sender Image,ਭੇਜਣ ਵਾਲੇ ਦਾ ਚਿੱਤਰ
sender_mobile_no_,Sender mobile No,ਭੇਜਣ ਵਾਲੇ ਦਾ ਮੋਬਾਈਲ ਨੰਬਰ
service_name,Service Name,ਸੇਵਾ ਦਾ ਨਾਮ
short_receive,Short Receive,ਸ਼ੌਰਟ ਪ੍ਰਾਪਤੀ
show_all,Show All,ਸਾਰੇ ਦਿਖਾਓ
label_show_auto_receive,Show Auto Receive Only,ਸਿਰਫ਼ ਆਟੋ ਪ੍ਰਾਪਤੀ ਦਿਖਾਓ
show_date,Show date,ਮਿਤੀ ਦਿਖਾਓ
show_list,Show List,ਸੂਚੀ ਦਿਖਾਓ
show_list_all,Show list all,ਸਭ ਦੀ ਸੂਚੀ ਦਿਖਾਓ
label_near_by_branches,Show Nearby Branches,ਨੇੜਲੀਆਂ ਸ਼ਾਖਾਵਾਂ ਦਿਖਾਓ
show_qr,Show QR,ਕਿਉ.ਆਰ. ਦਿਖਾਓ
label_rate_enquiry,Show Rate,ਦਰ ਦਿਖਾਓ
show_time,Show time,ਸਮਾਂ ਦਿਖਾਓ
sms_info,SMS Info,ਐਸ.ਐਮ.ਐਸ. ਜਾਣਕਾਰੀ
sms_pnr_info,SMS PNR Info,ਐਸ.ਐਮ.ਐਸ. ਪੀ.ਐਨ.ਆਰ. ਜਾਣਕਾਰੀ
label_sms_success,Sms sent successfully,ਐਸ.ਐਮ.ਐਸ. ਸਫਲਤਾਪੂਰਵਕ ਡਿਸਪੈਚ ਕੀਤਾ ਗਿਆ
sms_template,SMS Template,ਐਸ.ਐਮ.ਐਸ. ਟੈਮਪਲੇਟ
sms_template_here,SMS Template Here..,ਇੱਥੇ ਐਸ.ਐਮ.ਐਸ. ਟੈਮਪਲੇਟ..
sms_type,SMS Type,ਐਸ.ਐਮ.ਐਸ. ਦੀ ਕਿਸਮ
source_branch,Source Branch,ਸਰੋਤ ਸ਼ਾਖਾ
source_city,Source City,ਸਰੋਤ ਸ਼ਹਿਰ
special_vehicle,Special vehicle,ਵਿਸ਼ੇਸ਼ ਵਾਹਨ
label_sr,Sr.,ਲੜੀ.
staff_mno,Staff MNo.,ਸਟਾਫ਼ ਐਮ.ਐਨ.
dec_date,Start date,ਸ਼ੁਰੂਆਤੀ ਮਿਤੀ
start_date,Start date,ਸ਼ੁਰੂਆਤੀ ਮਿਤੀ
start_recording,Start recording,ਰਿਕਾਰਡਿੰਗ ਸ਼ੁਰੂ ਕਰੋ
start_syncing,Start Syncing,ਸਿੰਕ ਕਰਨਾ ਸ਼ੁਰੂ ਕਰੋ
stop_recording,Stop recording,ਰਿਕਾਰਡਿੰਗ ਬੰਦ ਕਰੋ
stop_syncing,Stop Syncing,ਸਿੰਕ ਕਰਨਾ ਬੰਦ ਕਰੋ
stop_trip,Stop Trip,ਯਾਤਰਾ ਰੋਕੋ
submit_otp,Submit OTP,ਓ.ਟੀ.ਪੀ. ਸਬਮਿਟ ਕਰੋ
receive_report_type_2,Summary,ਸਾਰਾਂਸ਼
toolbar_summary_receive_report,Summary -Receive Report,ਸਾਰਾਂਸ਼ - ਰਿਪੋਰਟ ਪ੍ਰਾਪਤ ਕਰੋ
dispatch_report_type_3,Summary Only,ਸਿਰਫ਼ ਸਾਰਾਂਸ਼
dispatch_report_type_5,Summary with Hamali & Cartage,ਹਮਾਲੀ ਅਤੇ ਕਾਰਟੇਜ ਸਮੇਤ ਸਾਰਾਂਸ਼
dispatch_report_type_6,Summary with other charges,ਹੋਰ ਖਰਚਿਆਂ ਸਮੇਤ ਸਾਰਾਂਸ਼
swiping_charges,Swiping Charges,ਸਵਾਈਪਿੰਗ ਖਰਚੇ
label_tnc,T&C,ਨਿਯਮ ਅਤੇ ਸ਼ਰਤਾਂ
test,Test,ਟੈਸਟ
label_already_added,This Eway bill already added,ਇਹ ਈਵੇ ਬਿੱਲ ਪਹਿਲਾਂ ਹੀ ਸ਼ਾਮਲ ਕੀਤਾ ਗਿਆ ਹੈ
tv_given_time,Time,ਸਮਾਂ
end_date,To Date,ਮਿਤੀ ਤੱਕ
to_stage,To Stage,ਸਟੇਜ ਤੱਕ
label_to_lr_booking_date,To LR Booking Date,ਐਲ.ਆਰ. ਬੁਕਿੰਗ ਦੀ ਮਿਤੀ ਤੱਕ
label_to_pay,To-Pay,ਟੂ-ਪੇਅ
offline_trips_tonetag,Tonetag - Offline trips,ਟੋਨੇਟੈਗ - ਔਫਲਾਈਨ ਯਾਤਰਾਵਾਂ
topay,Topay,ਟੂਪੇਅ
label_to_pay_amount,ToPay Amount,ਟੂਪੇਅ ਰਕਮ
label_to_pay_freight,ToPay Freight,ਟੂਪੇਅ ਮਾਲ ਢੁਆਈ
label_to_pay_gst_other,ToPay GST + Other,ਟੂਪੇਅ ਜੀ.ਐਸ.ਟੀ. + ਹੋਰ
label_to_pay_lr_count,ToPay LR Count,ਟੂਪੇਅ ਐਲ.ਆਰ. ਗਿਣਤੀ
label_to_pay_units,ToPay Units,ਟੂਪੇਅ ਇਕਾਈਸ
total_damage_qty,Total Damage Qty,ਕੁੱਲ ਨੁਕਸਾਨ ਦੀ ਮਾਤਰਾ
total_eway_bill_count,Total Eway Bill Count,ਕੁੱਲ ਈਵੇ ਬਿੱਲ ਦੀ ਗਿਣਤੀ
total_fare_gst,Total Fare(+GST),ਕੁੱਲ ਕਿਰਾਇਆ (+ਜੀ.ਐਸ.ਟੀ.)
total_freight,Total Freight,ਕੁੱਲ ਮਾਲ ਢੁਆਈ
total_gst,Total GST,ਕੁੱਲ ਜੀ.ਐੱਸ.ਟੀ.
label_total_gst_other,Total GST + Other,ਕੁੱਲ ਜੀ.ਐਸ.ਟੀ. + ਹੋਰ
total_items_,Total Items:,ਕੁੱਲ ਆਈਟਮਾਂ:
total_lr_count,Total LR Count,ਕੁੱਲ ਐਲ.ਆਰ. ਗਿਣਤੀ
label_total_net_amount,Total Net Amount,ਕੁੱਲ ਸ਼ੁੱਧ ਰਕਮ
total_qty,Total Qty,ਕੁੱਲ ਮਾਤਰਾ
total_short_qty,Total Short Qty,ਕੁੱਲ ਸ਼ੌਰਟ ਮਾਤਰਾ
