Tag,String,Translation
msg_otp_sent_to_contact,OTP succesfully sent to the contact no:,தொடர்பு நம்பர்க்கு வெற்றிகரமாக OTP அனுப்பப்பட்டது
msg_party_list_loading,Party list is loading !,பார்ட்டி பட்டியல் லோட் ஆகிறது
msg_patter_found,Pattern Found at Position:,நிலையில் மாதிரி வகை காணப்பட்டது
msg_pattern_recorded,"Pattern successfully recorded , press continue","மாதிரி வகை வெற்றிகரமாக பதிவு செய்யப்பட்டுள்ளது, தொடரு அழுத்தவும்"
msg_pickup_dropoff_not_loaded,"Pickup and dropoff not loaded, wait","பிக் அப் மற்றும் ட்ராப் ஆஃப் லோட் ஆகவில்லை, காத்திருக்கவும்"
msg_pickup_not_loaded,"Pickup locations not loaded!, try again","பிக் அப் இடங்கள் லோட் ஆகவில்லை, மீண்டும் முயற்சிக்கவும்"
msg_pin_doesnt_match,"Pin doesn\'t match ,failed to perform booking","பின் பொருந்தவில்லை, புக் செய்வதில் தோல்வி"
msg_seat_non_report,Please confirm seat non-report,இருக்கையில் யாரும் இல்லை என்று தயவு செய்து உறுதிப்படுத்தவும்
msg_connect_dots,Please connect atleast 4 dots,குறைந்தப்பட்சம் 4 புள்ளிகள் இணைக்கவும்
msg_enter_amount,Please enter amount,தயவு செய்து தொகை சமர்ப்பிக்கவும்
msg_enter_valid_fare,Please enter a valid fare,தயவு செய்து செல்லுபடியாகும் கட்டணம் சமர்ப்பிக்கவும்
msg_enter_correct_pin_code,Please enter correct Pin code,தயவு செய்து சரியான பின் கோட் சமர்ப்பிக்கவும்
msg_enter_diesel_liters,Please enter Diesel Liters,தயவு செய்து டீசல் லிட்டர்ஸ் சமர்ப்பிக்கவும்
msg_enter_diesel_in_liters,Please enter Diesel in Liters,தயவு செய்து டீசல் லிட்டர்ஸ் எண்ணிக்கையில் சமர்ப்பிக்கவும்
msg_enter_lr_number,Please enter LR number,தயவு செய்து LR நம்பர் சமர்ப்பிக்கவும்
msg_enter_pnr,Please Enter PNR Number,தயவு செய்து PNR நம்பர் சமர்ப்பிக்கவும்
msg_enter_otp,Please enter the OTP,தயவு செய்து OTP சமர்ப்பிக்கவும்
_msg_enter_sms_template,please enter sms template,தயவு செய்து SMS டெம்ப்ளேட் சமர்ப்பிக்கவும்
msg_enter_staff_details,Please enter staff mobile no,தயவு செய்து ஊழியரின் மொபைல் நம்பர் சமர்ப்பிக்கவும்
msg_enter_valid_contact,please enter valid contact no,தயவு செய்து செல்லுபடியாகும் தொடர்பு நம்பர் சமர்ப்பிக்கவும்
msg_enter_valid_min,please enter valid min,தயவு செய்து செல்லுபடியாகும் நிமிடம் சமர்ப்பிக்கவும்
msg_enter_valid_mobile,Please enter valid Mobile no,தயவு செய்து செல்லுபடியாகும் மொபைல் நம்பர் சமர்ப்பிக்கவும்
msg_enter_valid_mobile_num,Please enter a valid mobile number,தயவு செய்து செல்லுபடியாகும் மொபைல் நம்பர் சமர்ப்பிக்கவும்
msg_enter_valid_name,Please enter Valid name,தயவு செய்து செல்லுபடியாகும் பெயர் சமர்ப்பிக்கவும்
msg_enter_valid_otp,Please enter valid OTP!!,தயவு செய்து செல்லுபடியாகும் OTP சமர்ப்பிக்கவும்
msg_fill_correct_delivery_cartage,Please fill correct Delivery cartage !!,தயவு செய்து சரியான டெலிவரி கார்டேஜ்  நிரப்பவும்
msg_fill_demurrage_charge,Please fill correct Demurrage charge!!,தயவு செய்து சரியான தாமதம உண்டான கட்டணம் நிரப்பவும்
msg_bluetooth_connection_for_printer,Please give us Bluetooth connect permission for bluetooth printer connection!!,ப்ளூடூத் ப்ரிண்டர் இணைப்புக்கு தயவு செய்து எங்களுக்கு ப்ளூடூத் இணைப்பு அனுமதி வழங்கவும்
msg_permission_to_take_picture,Please give us camera permission to take picture!!,புகைப்படம் எடுக்க தயவு செய்து கேமரா அனுமதி வழங்கவும்
msg_permission_access_image,Please give us read permission to access image from your device!!,உங்கள் கருவியிலிருந்து படத்தை நாட தயவு செய்து எங்களுக்கு வாசிக்கும் அனுமதி வழங்கவும்
msg_storage_read_permission,Please give us storage read permission!!,தயவு செய்து எங்களுக்கு சேமிப்பு கிடங்கு அனுமதி வழங்கவும்
msg_provide_valid_mobile_number,Please provide valid mobile number for initiating auto POS transaction,ஆட்டோ POS பரிவர்த்தனை தொடங்க தயவு செய்து செல்லுபடியாகும் மொபைல் நம்பர் வழங்கவும்
msg_search_for_date,Please Search for any date,ஏதாவது ஒரு தேதியை தயவு செய்து தேடவும்
msg_select_coupon_type,Please select a coupon type,தயவு செய்து ஒரு கூப்பன் வகை தேர்ந்தெடுக்கவும்
msg_select_different_payment,Please select a different payment mode!!,தயவு செய்து வேறொரு செலுத்தல் மோட் தேர்ந்தெடுக்கவும்
msg_select_any_transaction,Please select any transaction,தயவு செய்து ஏதாவது ஒரு பரிவர்த்தனை தேர்ந்தெடுக்கவும்
msg_select_seat,Please select atleast a seat to continue,மேலும் தொடர தயவு செய்து ஒரு இருக்கையாவது தேர்தெடுக்கவும்
msg_select_valid_date,Please select a valid date,தயவு செய்து செல்லுபடியாகும் தேதியை தேர்ந்தெடுக்கவும்
msg_select_consignment_type,Please select consignment type !!,தயவு செய்து சரக்கு வகை தேர்ந்தெடுக்கவும்
msg_select_delivery_type,Please select delivery Type,தயவு செய்து டெலிவரி வகை தேர்ந்தெடுக்கவும்
msg_select_input,Please select input type,தயவு செய்து உள்ளீடு வகை தேர்ந்தெடுக்கவும்
msg_select_one_party,Please select one party,தயவு செய்து ஒரு பார்ட்டி தேர்ந்தெடுக்கவும்
msg_select_pickup_groups,Please select pickup groups !,தயவு செய்து பிக் அப் குழுக்கள் தேர்ந்தெடுக்கவும்
msg_select_received_by_branch,please select received by branch,தெயவு செய்து கிளையில் கிடைத்தது என்று தேர்ந்தெடுக்கவும்
msg_select_some_luggage,Please select some luggage!!,தயவு செய்து ஏதாவது சாமான் தேர்ந்தெடுக்கவும்
msg_select_some_seats,Please select some seats first!!,தயவு செய்து முதலில் சில இருக்கைகள் தேர்ந்தெடுக்கவும்
msg_template_typle,please select template type,தயவு செய்து டெம்ப்ளேட் வகை தேர்ந்தெடுக்கவும்
msg_enter_valid_input,Please enter valid input,தயவு செய்து செல்லுபடியாகும் உள்ளீடு தேர்ந்தெடுக்கவும்
msg_prepaid_card_generated_for,Prepaid card generated for,ப்ரீபேட் கார்ட் ….. க்காக உருவாக்கப்பட்டது
msg_prepaid_card_already_generated,Prepaid card already generated for the orderid..,ஆர்டர் ID குறித்து ப்ரீபேட் கார்ட் ஏற்கனவே உருவாக்கப்பட்டது
qr_from_different_lr,QR from different LR,வேறு LR யிலிருந்து QR
msg_qr_not_otp_verified,QR not OTP verified,QR OTP யினால் சரிபார்க்கப்படவில்லை
msg_range_cant_be_more_31,Range can not be more than 31 days,வரம்பு 31 நாட்களுக்கு மேல் இருக்கக் கூடாது
msg_recharge_request_submitted_successfully,Recharge request submitted successfully,ரீசார்ஜ் கோரிக்கை வெற்றிகரமாக சமர்ப்பிக்கப்பட்டுள்ளது
msg_scan_qr_or_select_pending_transaction,Scan Qr or select a pending transaction,QR ஸ்கேன் செய்யவும் அல்லது நிலுவையில் உள்ள ஒரு பரிவர்த்தனை தேர்ந்தெடுக்கவும்
msg_scanned_amount_less,Scanned amount is less than amount to be paid !,ஸ்கேன் செய்த தொகை செலுத்த வேண்டிய தொகையை விட குறைவாக உள்ளது
msg_scanned_qr_less_than_total,Scanned QR amount is less than total fare !,ஸ்கேன் செய்த QR தொகை மொத்த கட்டணத்தை குறைவாக உள்ளது
msg_search_with_mobile_no,Search with mobile no:,மொபைல் நம்பர் பயன்படுத்தி தேடவும்
msg_select_bus_number,Select a bus number!,ஒரு பஸ் நம்பர் தேர்ந்தெடுக்கவும்
msg_select_a_trip_to_add_expense,Select a Trip to add expense,செலவை சேர்க்க ஒரு பயணத்தை தேர்ந்தெடுக்கவும்
msg_select_transfer_branch,Select branch to transfer,பரிமாற்றம் செய்ய கிளை தேர்ந்தெடுக்கவும்
msg_select_items_to_cancel,Select Items to Cancel,ரத்து செய்ய பொருட்கள் தேர்ந்தெடுக்கவும்
msg_select_luggage_to_receive,Select Luggage to Receive,பெறுவதற்க்காக சாமான் தேர்ந்தெடுக்கவும்
msg_select_luggage_to_transfer,Select Luggage to Transfer,பரிமாற்றம் செய்ய சாமான் தேர்ந்தெடுக்கவும்
msg_sms_for_passengers,Select passengers for sending sms!,SMS அனுப்ப பயணிகளை தேர்ந்தெடுக்கவும்
msg_select_seat_from_new_chart,Select seat from new chart,புதிய விளக்கப்படத்திலிருந்து இருக்கை தேர்ந்தெடுக்கவும்
msg_select_transfer_vehicle,Select vehicle to transfer,பரிமாற்றம் செய்ய வாகனத்தை தேர்ந்தெடுக்கவும்
msg_consignment_cannot_deliver,Selected Consignment Cannot be Delivered,தேர்ந்தெடுக்கப்பட்ட சரக்கு டெலிவரி செய்ய முடியாது
msg_service_running,Service is already running!,சேவை ஏற்கனவே இயங்கிக் கொண்டிருக்கிறது
msg_prepaid_card_generated,Since booking is failed and payment is successful a prepaid card is generated,புக்கிங்க் தோல்வி அடைந்ததால் மற்றும் செலுத்தல் வெற்றி பெற்றதால் ஒரு ப்ரீபேட் கார்ட் உருவாக்கப்பட்டது
msg_failed_sending_link,"Sorry,failed to send link!!","மன்னிக்கவும், இணைப்பு அனுப்ப தோல்வி"
msg_no_routes,Sorry! No routes found!,"மன்னிக்கவும், ரூட்ஸ் காணவில்லை"
msg_problem_in_sending_otp,Sorry there is some problem in sending otp,"மன்னிக்கவும், OTP அனுப்ப சில பிரச்னைகள் உள்ளன"
msg_stop_trip_to_logout,Stop the trip to logout..,லாக் அவுட் செய்ய பயணத்தை நிருத்தவும்
msg_storage_read_granted,Storage read permission granted!!,சேமிப்பு கிடங்கு அனுமதி வழங்கப்பட்டுள்ளது
msg_doesnt_support_crop,This device doesn\'t support the crop action!,இந்த கருவியில் க்ராப் சேவைக்கு ஆதரவு இல்லை
msg_non_reported_seat,This seat is non-reported.,இந்த இருக்கைக்கு அறிக்கை இல்லை
msg_transaction_amount_cannot_be_less,Transaction amount can\'t be less than total fare,பரிவர்த்தனை தொகை மொத்த கட்டணத்தைவிட குறைவாக இருக்கக் கூடாது
mag_transfer_branch_loading,Transfer branch is loading,பரிமாற்றம் கிளை லோட் ஆகிறது
msg_error_while_printing,Unknown error while printing!,ப்ரிண்டிங்க் செய்யும் போது அறியப்படாத பிழை
msg_user_not_logged_in,User is not logged in!,பயனாளர் லாக் இன் செய்யவில்லை
msg_verified_and_order_confirmed,Verification success - Order confirmed,சரிபார்ப்பு வெற்றி - ஆர்டர் உறுதி
msg_weight_range,Weight should be in between 1.0 to 5.0 k,எடை 1.0 முதல் 5.0 கிலோவுக்கு இடையே இருக்க வேண்டும்
msg_wrong_pattern,"Wrong pattern, try again","தவறான முறை, மீண்டும் முயற்சிக்கவும்"
msg_youre_offline,You are offline! Status will be synced later!,நீங்கள் ஆஃப்லைன்! நிலை சற்று நேரத்துக்குப் பின் ஒத்திசைவு பெறும்
msg_youve_changed_rate,You have changed the rate from,கட்டணத்தை ….. யிலிருந்து நீங்கள் மாற்றியிருக்கிறீர்கள்
msg_recharge_request_successful,Your recharge request is successful,உங்கள் ரீசார்ஜ் கோரிக்கை வெற்றி
