Tag,String,Translation
msg_select_different_payment,Please select a different payment mode!!,कृपया किसी भिन्न भुगतान मोड का चयन करें 
msg_select_any_transaction,Please select any transaction,कृपया किसी भी लेनदेन का चयन करें 
msg_select_seat,Please select atleast a seat to continue,कृपया जारी रखने के लिए कम से कम एक सीट का चयन करें
msg_select_valid_date,Please select a valid date,कृपया मान्य दिनांक का चयन करें 
msg_select_consignment_type,Please select consignment type !!,कृपया कंसाइन्मेंट प्रकार का चयन करें!!
msg_select_delivery_type,Please select delivery Type,कृपया डिलीवरी प्रकार का चयन करें 
msg_select_input,Please select input type,कृपया इनपुट प्रकार का चयन करें 
msg_select_one_party,Please select one party,कृपया एक पार्टी का चयन करें
msg_select_pickup_groups,Please select pickup groups !,कृपया पिकअप समूह का चयन करें 
msg_select_received_by_branch,please select received by branch,कृपया शाखा द्वारा प्राप्त का चयन करें
msg_select_some_luggage,Please select some luggage!!,कृपया कुछ सामान का चयन करें 
msg_select_some_seats,Please select some seats first!!,कृपया पहले कुछ सीटों का चयन करें 
msg_template_typle,please select template type,कृपया टेम्प्लेट प्रकार का चयन करें 
msg_enter_valid_input,Please enter valid input,कृपया वैध इनपुट दर्ज करें
msg_prepaid_card_generated_for,Prepaid card generated for,किसके लिए प्रीपेड कार्ड बनाया गया 
msg_prepaid_card_already_generated,Prepaid card already generated for the orderid..,ऑर्डरआईडी के लिए प्रीपेड कार्ड पहले ही जेनरेट हो चुका है।
qr_from_different_lr,QR from different LR,विभिन्न एलआर से क्यूआर
msg_qr_not_otp_verified,QR not OTP verified,क्यूआर ओटीपी सत्यापित नहीं है
msg_range_cant_be_more_31,Range can not be more than 31 days,सीमा 31 दिन से अधिक नहीं हो सकती
msg_recharge_request_submitted_successfully,Recharge request submitted successfully,रिचार्ज अनुरोध सफलतापूर्वक दर्ज किया गया
msg_scan_qr_or_select_pending_transaction,Scan Qr or select a pending transaction,क्यूआर स्कैन करना या लंबित लेनदेन का चयन करना
msg_scanned_amount_less,Scanned amount is less than amount to be paid !,स्कैन की गई राशि भुगतान की जाने वाली राशि से कम है!
msg_scanned_qr_less_than_total,Scanned QR amount is less than total fare !,स्कैन की गई क्यूआर राशि कुल किराये से कम है!
msg_search_with_mobile_no,Search with mobile no:,मोबाइल संख्या से खोजें:
msg_select_bus_number,Select a bus number!,किसी बस संख्या का चयन करें 
msg_select_a_trip_to_add_expense,Select a Trip to add expense,व्यय जोड़ने के लिए किसी यात्रा का चयन करें 
msg_select_transfer_branch,Select branch to transfer,स्थानांतरण के लिए शाखा का चयन करें
msg_select_items_to_cancel,Select Items to Cancel,रद्द करने के लिए आइटम का चयन करें
msg_select_luggage_to_receive,Select Luggage to Receive,प्राप्त करने के लिए सामान का चयन करें
msg_select_luggage_to_transfer,Select Luggage to Transfer,स्थानांतरण के लिए सामान का चयन करें
msg_sms_for_passengers,Select passengers for sending sms!,एसएमएस भेजने के लिए यात्रियों का चयन करें!
msg_select_seat_from_new_chart,Select seat from new chart,नए चार्ट से सीट का चयन करें 
msg_select_transfer_vehicle,Select vehicle to transfer,स्थानांतरित करने के लिए वाहन का चयन करें
msg_consignment_cannot_deliver,Selected Consignment Cannot be Delivered,चयनित कंसाइन्मेंट को डिलीवर नहीं किया जा सकता है 
msg_service_running,Service is already running!,सेवा पहले से ही चल रही है!
msg_prepaid_card_generated,Since booking is failed and payment is successful a prepaid card is generated,"चूंकि बुकिंग विफल हो गई है और भुगतान सफल है, इसलिए प्रीपेड कार्ड तैयार किया जाता है"
msg_failed_sending_link,"Sorry,failed to send link!!","क्षमा करें, लिंक भेजने में विफल हुआ!!"
msg_no_routes,Sorry! No routes found!,क्षमा करें! कोई मार्ग नहीं मिला!
msg_problem_in_sending_otp,Sorry there is some problem in sending otp,क्षमा करें ओटीपी भेजने में कुछ समस्या आ रही है
msg_stop_trip_to_logout,Stop the trip to logout..,लॉगआउट करने के लिए यात्रा रोकें।।
msg_storage_read_granted,Storage read permission granted!!,भंडारण पढ़ने की अनुमति प्रदान की गयी!!
msg_doesnt_support_crop,This device doesn\'t support the crop action!,इस डिवाइस/उपकरणमें क्रॉप कार्य नहीं हो सकता है 
msg_non_reported_seat,This seat is non-reported.,इस सीट को रिपोर्ट नहीं किया जा सकता है 
msg_transaction_amount_cannot_be_less,Transaction amount can\'t be less than total fare,लेन-देन राशि कुल किराये से कम नहीं हो सकती है 
mag_transfer_branch_loading,Transfer branch is loading,स्थानांतरण शाखा लोड हो रही है
msg_error_while_printing,Unknown error while printing!,प्रिंट करते समय अज्ञात त्रुटि 
msg_user_not_logged_in,User is not logged in!,उपयोगकर्ता लॉग इन नहीं है!
msg_verified_and_order_confirmed,Verification success - Order confirmed,सत्यापन सफल - ऑर्डर की पुष्टि 
msg_weight_range,Weight should be in between 1.0 to 5.0 k,वजन 1.0 से 5.0 कि.मी. के बीच होना चाहिए
msg_wrong_pattern,"Wrong pattern, try again","ग़लत पैटर्न, पुनः प्रयास करें"
msg_youre_offline,You are offline! Status will be synced later!,आप ऑफलाइन हैं! आपके स्टेटस को बाद में सिनिक किया जाएगा !
msg_youve_changed_rate,You have changed the rate from,आपने मूल्य/दर को ------ से बदल दिया है 
msg_recharge_request_successful,Your recharge request is successful,आपका रिचार्ज अनुरोध सफल हुआ 
